service,top90_trace_num,top90_cg_num,ms_num,label
Top_1_S_130831269,35624155,5,6,1
Top_2_S_86516878,23577169,2,5,3
Top_4_S_1823467,17050917,21,22,5
Top_8_S_51794709,12272951,8,8,1
Top_7_S_21852643,12263912,14,15,5
Top_11_S_119456620,6607022,11,13,1
S_124848862,3988267,1,2,5
Top_17_S_36816397,3758176,25,8,2
S_157184301,2864292,2,3,5
Top_19_S_14677443,2301808,1,3,2
Top_3_S_32048416,2281911,11,9,2
Top_18_S_19481993,1739378,3,4,2
S_164945114,1731243,1,2,5
S_88923722,1443264,1,2,1
S_148191226,1384518,4,3,5
S_88913115,1258050,1,3,2
S_133213375,1204608,83,18,5
S_157784101,990806,1,2,5
S_24245906,953605,1,2,5
S_5991695,785084,3,7,2
S_54795436,762812,3,4,2
S_139792995,719299,1,2,5
S_42803815,685115,3,4,2
S_100306427,665240,3,8,5
S_35021829,661622,1,2,5
S_45197804,607697,1,2,5
S_60764695,579145,1,2,5
S_136203641,548148,1,2,5
S_23648032,542830,4,5,5
S_32028218,530601,2,3,1
S_151768884,518387,1,2,5
S_151766807,513488,61,31,5
S_79946648,444885,2,3,5
S_163173196,439810,266,31,1
S_18883540,428525,1,3,5
S_121265931,390992,3,3,1
S_103874395,377186,1,2,5
S_23648538,365340,54,3,1
S_31452252,361337,3,3,1
S_66151211,356646,10,12,1
S_83531871,336318,6,7,5
S_162549804,333455,2,3,1
S_150593850,330830,1,2,1
S_91296607,329695,4,4,5
S_149998854,315378,3,3,1
S_35643505,303505,1,2,1
S_89513364,293280,2,4,2
S_145788651,289594,3,3,2
S_61961945,279233,2,3,1
S_39210799,275131,3,3,1
S_39809122,262277,3,3,1
S_155382676,255824,2,3,1
S_100293104,250978,39,61,5
S_35618835,245633,1,2,5
S_69743222,240721,1,2,1
S_94914028,237692,2,3,5
S_103874939,224591,2,3,1
S_60764691,221794,2,3,1
S_125437752,221124,1,2,5
S_65553921,213088,1,2,5
S_112172701,207029,1,3,2
S_163769797,206237,1,3,5
S_94889065,202333,2,3,1
S_157759457,201105,3,3,5
S_47591932,197489,1,2,5
S_130221122,196854,1,2,5
S_132038010,193154,1,2,1
S_39210804,192768,1,2,5
S_164346373,192619,1,3,1
S_51211570,191219,246,247,5
S_157758109,189419,1,2,5
S_143989825,188431,1,2,5
S_16466664,184057,2,5,2
S_158957366,179227,1,2,5
S_55969893,177963,2,3,5
S_7708625,176882,2,3,1
S_115851421,174625,1,2,5
S_143391683,174414,1,2,1
S_32028211,174323,1,2,5
S_98503772,173010,1,2,1
S_136204107,172460,1,2,5
S_13171427,170866,1,2,5
S_85930824,170790,1,4,2
S_20668821,167749,11,3,5
S_82913698,167348,2,3,2
S_126027253,167331,15,15,1
S_102676846,165261,24,14,1
S_88901888,163732,54,3,1
S_38013711,162138,1,2,5
S_161353510,162046,1,2,1
S_69743215,161314,1,2,1
S_125426558,160664,1,3,1
S_65553922,160213,2,3,1
S_91308081,160174,4,6,2
S_45198898,156141,13,14,1
S_5280860,153859,30,31,5
S_17664374,151223,2,3,1
S_14666291,150684,2,3,1
S_121243043,149197,3,5,5
S_88903417,147975,2,5,2
S_110454730,145824,6,4,1
S_161351906,144769,1,2,5
S_29033943,144560,1,2,1
S_82335944,141404,4,7,5
S_20058755,141005,2,3,5
S_84732976,140093,6,12,5
S_151767292,134815,1,3,1
S_47593239,133434,114,3,1
S_80522247,131723,2,5,5
S_97306281,127412,1,4,2
S_56569086,125113,6,3,1
S_25464072,124917,155,17,2
S_75752507,119920,15,8,1
S_132616524,117165,6,9,1
S_146385490,116983,2,3,1
S_78750217,114723,1,2,5
S_102676844,114305,1,2,1
S_42823881,111580,1,3,1
S_112879212,111520,80,3,1
S_55394163,108829,3,4,5
S_73335970,107403,2,3,1
S_32627153,106641,5,9,1
S_2397742,104860,2,3,5
S_92491564,104766,13,3,1
S_114055253,103151,2,4,2
S_14067282,102799,1,2,5
S_149973068,102031,1,2,5
S_120044355,98536,6,3,5
S_69146411,97677,3,4,1
S_45796381,97338,2,3,5
S_152964629,97129,1,2,5
S_27238241,95791,2,3,5
S_100880671,95595,2,3,1
S_10778779,93376,4,3,1
S_114054178,92443,1,2,5
S_155359675,91825,3,4,5
S_87704894,91535,1,2,5
S_144587376,89747,13,3,1
S_138001831,89043,1,2,5
S_600205,88983,2,3,1
S_120643431,88940,6,3,1
S_61363385,88777,2,4,2
S_26042068,86062,3,6,2
S_51785285,84776,2,3,2
S_158957364,84364,1,2,5
S_1798709,83949,1,2,5
S_157783827,83069,1,3,1
S_100882232,81343,3,7,1
S_30828993,79494,1,2,5
S_151767293,78222,5,3,1
S_94890625,78122,12,15,1
S_27242602,77043,1,3,1
S_91296603,76182,1,2,5
S_109282422,75355,2,3,1
S_62561607,75252,4,3,5
S_76929141,75173,4,3,1
S_79344756,74826,2,5,2
S_36241643,73577,2,5,2
S_58367703,72530,7,12,2
S_79943572,70960,25,13,2
S_154958392,70497,1,2,5
S_84709981,69980,39,12,1
S_4792705,69920,1,2,5
S_17664390,69585,138,3,1
S_109859206,68746,3,6,5
S_23648535,68026,6,3,1
S_48190069,67177,31322,7,1
S_60764688,66400,6,3,1
S_161951300,65987,1,3,1
S_95410635,65967,2,3,1
S_62563203,65076,1,3,2
S_115251877,64521,2,3,1
S_81717269,64156,33,4,5
S_129622420,63589,14,3,1
S_101478725,63328,2,3,5
S_72758502,62639,6,10,5
S_77526868,62194,2,3,1
S_48789337,62003,6,3,5
S_1116347,61242,1,3,5
S_44598575,60994,1,2,5
S_71563201,59825,1,3,1
S_90697852,59495,1,2,1
S_133835939,59440,1,3,5
S_124851547,58007,3,3,1
S_8984047,57699,1,2,1
S_108063557,56985,2,3,1
S_4219106,56596,2,4,5
S_19459371,56480,1,2,5
S_2998391,55626,2,3,2
S_3620760,55235,10,3,1
S_105672171,53502,6,10,1
